,name,id,nametype,recclass,mass (g),fall,reclat,reclong,GeoLocation,Year,City,Country
21790,Luis Lopez,14751,Valid,"Iron, IIIAB",7000.0,Found,34.0,-106.96667,"(34.0, -106.96667)",1896.0,socorro,us
5554,Covert,5456,Valid,H5,61000.0,Found,39.2,-98.78333,"(39.2, -98.78333)",1896.0,hays,us
741,Ottawa,18046,Valid,LL6,840.0,Fell,38.6,-95.21667,"(38.6, -95.21667)",1896.0,ottawa,us
26214,Mount Morris (New York),16782,Valid,H,12.5,Found,42.7,-77.88333,"(42.7, -77.88333)",1897.0,batavia,us
36736,San Angelo,23117,Valid,"Iron, IIIAB",88000.0,Found,31.41667,-100.35,"(31.41667, -100.35)",1897.0,san angelo,us
38278,Weaver Mountains,24227,Valid,"Iron, IVB",38800.0,Found,34.25,-112.75,"(34.25, -112.75)",1898.0,prescott,us
587,Mariaville,15419,Valid,Iron,340.0,Fell,42.71667,-99.38333,"(42.71667, -99.38333)",1898.0,mitchell,us
26216,Mount Ouray,16784,Valid,"Iron, IID",900.0,Found,38.41667,-106.21667,"(38.41667, -106.21667)",1898.0,canon city,us
22911,Mart,15435,Valid,"Iron, IVA",7140.0,Found,31.5,-96.88333,"(31.5, -96.88333)",1898.0,robinson,us
16524,Iredell,12046,Valid,"Iron, IIAB",1500.0,Found,31.96667,-97.86667,"(31.96667, -97.86667)",1898.0,stephenville,us
34,Andover,2295,Valid,L6,3200.0,Fell,44.61667,-70.75,"(44.61667, -70.75)",1898.0,rumford,us
5439,Cedartown,5304,Valid,"Iron, IIAB",11300.0,Found,34.01667,-85.26666999999999,"(34.01667, -85.26667)",1898.0,cedartown,us
16508,Illinois Gulch,12024,Valid,"Iron, ungrouped",2500.0,Found,46.68333,-112.55,"(46.68333, -112.55)",1899.0,helena,us
36008,Red Willow,22550,Valid,Iron,2750.0,Found,40.25,-100.5,"(40.25, -100.5)",1899.0,north platte,us
26325,Murphy,16881,Valid,"Iron, IIAB",7700.0,Found,35.1,-84.03333,"(35.1, -84.03333)",1899.0,athens,us
28,Allegan,2276,Valid,H5,32000.0,Fell,42.53333,-85.88333,"(42.53333, -85.88333)",1899.0,holland,us
37769,Surprise Springs,23761,Valid,"Iron, IAB-sLL",1500.0,Found,34.16667,-115.91667,"(34.16667, -115.91667)",1899.0,twentynine palms,us
